sepal_length,sepal_width,petal_length,petal_width,class
4.7-5.1,3.5-3.6,1.3-1.5,0.2-0.2,Iris-setosa
4.7-5.1,3.0-3.2,1.3-1.5,0.2-0.2,Iris-setosa
4.7-5.1,3.0-3.2,1.3-1.5,1.0-1.3,Iris-setosa
4.7-5.1,3.0-3.2,1.3-1.5,0.2-0.2,Iris-setosa
4.7-5.1,3.5-3.6,1.3-1.5,0.2-0.2,Iris-setosa
5.6-5.8,2.7-2.9,3.9-5.0,1.0-1.3,Iris-versicolor
6.2-6.5,2.2-2.5,3.9-5.0,1.5-1.8,Iris-versicolor
5.6-5.8,2.2-2.5,3.9-5.0,1.0-1.3,Iris-virginica
4.7-5.1,2.2-2.5,3.3-3.3,1.0-1.3,Iris-versicolor
5.6-5.8,2.7-2.9,3.9-5.0,1.0-1.3,Iris-versicolor
4.7-5.1,3.0-3.2,3.9-5.0,1.0-1.3,Iris-versicolor
5.6-5.8,2.7-2.9,3.9-5.0,1.0-1.3,Iris-versicolor
6.7-7.3,2.7-2.9,5.1-6.3,1.0-1.3,Iris-virginica
6.7-7.3,2.2-2.5,5.1-6.3,1.5-1.8,Iris-virginica
6.7-7.3,3.5-3.6,5.1-6.3,2.0-2.5,Iris-virginica
6.2-6.5,3.0-3.2,5.1-6.3,2.0-2.5,Iris-virginica
6.2-6.5,2.7-2.9,5.1-6.3,1.0-1.3,Iris-virginica
6.7-7.3,3.0-3.2,5.1-6.3,2.0-2.5,Iris-virginica
4.7-5.1,2.2-2.5,3.9-5.0,2.0-2.5,Iris-virginica
5.6-5.8,2.7-2.9,5.1-6.3,2.0-2.5,Iris-virginica
